id,candidate_length,in_candidates,response,answer
0,2,True,Wilhelm Röntgen,Wilhelm Röntgen
1,1,True,Utrecht University,Utrecht University
2,9,True,Student,Student
3,5,True,Wilhelm Röntgen,Wilhelm Röntgen
4,3,True,"Magdalene College, Cambridge","Magdalene College, Cambridge"
5,10,True,notInKB,notInKB
6,2,True,Cavendish Laboratory,Cavendish Laboratory
7,8,True,Physicist,Physicist
8,6,True,Professor,Professor
9,10,True,Ernest Rutherford,Ernest Rutherford
10,10,True,Fellow,Fellow
11,9,True,"King's College, Cambridge","King's College, Cambridge"
12,10,True,University of Cambridge,Cambridge
13,10,False,notInKB,notInKB
14,2,True,Royal Aircraft Establishment,Royal Aircraft Establishment
15,10,True,"Farnborough, Hampshire","Farnborough, Hampshire"
16,1,True,Hans Geiger,Hans Geiger
17,10,False,notInC,Director (business)
18,7,True,Walther Bothe,Walther Bothe
19,8,False,notInC,Research assistant
20,10,True,Hans Geiger,Hans Geiger
21,8,False,notInC,Walther Bothe
22,10,True,Hans Geiger,Hans Geiger
23,10,False,notInC,Director (business)
24,9,True,French Third Republic,France
25,9,True,Nazi Germany,Germany
26,1,True,Walther Bothe,Walther Bothe
27,1,True,Frédéric Joliot-Curie,Frédéric Joliot-Curie
28,10,True,Paris,Paris
29,1,True,Albert Lutuli,Albert Lutuli
30,8,True,Principal (academia),Principal (academia)
31,9,True,Teacher,Teacher
32,8,True,Primary school,Primary school
33,10,True,"Newcastle, KwaZulu-Natal","Newcastle, KwaZulu-Natal"
34,10,True,Diocese of Natal,KwaZulu-Natal
35,1,True,Albert Lutuli,Albert Lutuli
36,7,True,United Methodist Church,United Methodist Church
37,9,True,Preacher,Preacher
38,1,True,Albert Lutuli,Albert Lutuli
39,4,True,African National Congress,African National Congress
40,8,False,notInC,Albert Lutuli
41,7,True,KwaZulu-Natal,KwaZulu-Natal Division
42,4,True,African National Congress,African National Congress
43,6,False,notInC,KwaZulu-Natal Division
44,8,True,Nelson Mandela,Nelson Mandela
45,1,True,Umkhonto we Sizwe,Umkhonto we Sizwe
46,1,True,Albert Lutuli,Albert Lutuli
47,8,True,United States,United States
48,5,True,Robert F. Kennedy,Robert F. Kennedy
49,8,True,South Africa,South Africa
50,1,True,Giulio Natta,Giulio Natta
51,8,True,Imperia,Imperia
52,10,True,Italy,Italy
53,9,False,notInC,Giulio Natta
54,10,False,notInC,Giulio Natta
55,1,True,Polytechnic University of Milan,Polytechnic University of Milan
56,10,True,Milan,Milan
57,6,True,Giulio Natta,Giulio Natta
58,2,True,Karl Ziegler,Karl Ziegler
59,2,True,Professor,Professor
60,10,False,notInC,Director (business)
61,1,True,Polytechnic University of Turin,Polytechnic University of Turin
62,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
63,1,True,Joseph Edward Mayer,Joseph Edward Mayer
64,8,True,United States,United States
65,7,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
66,5,True,Professor,Professor
67,7,True,Johns Hopkins University,Johns Hopkins University
68,7,True,Johns Hopkins University,Johns Hopkins University
69,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
70,5,True,Faculty (academic staff),Faculty (academic staff)
71,9,False,notInC,Maria Goeppert-Mayer
72,8,False,notInC,Research assistant
73,5,True,Professor,Professor
74,10,True,University of Chicago,University of Chicago
75,8,True,Physicist,Physicist
76,1,True,Argonne National Laboratory,Argonne National Laboratory
77,1,True,J. Hans D. Jensen,J. Hans D. Jensen
78,1,True,Eugene Wigner,Eugene Wigner
79,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
80,8,False,notInC,Maria Goeppert-Mayer
81,1,True,Sarah Lawrence College,Sarah Lawrence College
82,1,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
83,2,True,Professors in the United States,Professor
