id,candidate_length,in_candidates,response,answer
0,2,True,Wilhelm Röntgen,Wilhelm Röntgen
1,1,True,Utrecht University,Utrecht University
2,6,True,Student,Student
3,4,True,Wilhelm Röntgen,Wilhelm Röntgen
4,3,True,"Magdalene College, Cambridge","Magdalene College, Cambridge"
5,10,True,notInKB,notInKB
6,1,True,Cavendish Laboratory,Cavendish Laboratory
7,2,True,Experimental physics,Physicist
8,7,True,Fullerian Professor of Chemistry,Professor
9,10,True,Ernest Rutherford,Ernest Rutherford
10,9,True,Research fellow,Fellow
11,9,False,notInC,"King's College, Cambridge"
12,10,True,University of Cambridge,Cambridge
13,10,False,notInKB,notInKB
14,2,True,Royal Aircraft Establishment,Royal Aircraft Establishment
15,9,True,"Farnborough, Hampshire","Farnborough, Hampshire"
16,1,True,Hans Geiger,Hans Geiger
17,8,True,Executive director,Director (business)
18,7,True,Walther Bothe,Walther Bothe
19,6,False,notInC,Research assistant
20,10,True,Hans Geiger,Hans Geiger
21,7,False,notInC,Walther Bothe
22,10,True,Hans Geiger,Hans Geiger
23,8,True,Executive director,Director (business)
24,9,True,French Third Republic,France
25,9,True,Nazi Germany,Germany
26,1,True,Walther Bothe,Walther Bothe
27,1,True,Frédéric Joliot-Curie,Frédéric Joliot-Curie
28,9,True,Paris,Paris
29,1,True,notInKB,notInKB
30,10,True,notInKB,notInKB
31,2,True,Teacher,Teacher
32,7,True,Primary school,Primary school
33,10,True,"Newcastle, KwaZulu-Natal","Newcastle, KwaZulu-Natal"
34,7,True,KwaZulu-Natal,KwaZulu-Natal
35,1,True,notInKB,notInKB
36,7,True,Methodist Church,United Methodist Church
37,6,True,Methodist local preacher,Preacher
38,1,True,notInKB,notInKB
39,3,True,African National Congress,African National Congress
40,10,False,notInKB,notInKB
41,6,True,KwaZulu-Natal,KwaZulu-Natal Division
42,3,True,African National Congress,African National Congress
43,7,False,notInC,KwaZulu-Natal Division
44,6,True,Nelson Mandela,Nelson Mandela
45,1,True,notInKB,notInKB
46,1,True,notInKB,notInKB
47,9,True,United States,United States
48,4,True,Robert F. Kennedy,Robert F. Kennedy
49,8,True,South Africa,South Africa
50,1,True,Giulio Natta,Giulio Natta
51,4,True,Imperia,Imperia
52,8,True,Italy,Italy
53,8,False,notInC,Giulio Natta
54,9,False,notInC,Giulio Natta
55,1,True,Polytechnic University of Milan,Polytechnic University of Milan
56,9,True,Milan,Milan
57,6,True,Giulio Natta,Giulio Natta
58,2,True,Karl Ziegler,Karl Ziegler
59,1,True,Professor,Professor
60,8,True,Executive director,Director (business)
61,1,True,Polytechnic University of Turin,Polytechnic University of Turin
62,6,True,notInKB,notInKB
63,1,True,Joseph Edward Mayer,Joseph Edward Mayer
64,9,True,United States,United States
65,7,True,notInKB,notInKB
66,4,True,Professor,Professor
67,7,True,Johns Hopkins University,Johns Hopkins University
68,7,True,Johns Hopkins University,Johns Hopkins University
69,6,True,notInKB,notInKB
70,5,True,notInKB,notInKB
71,10,False,notInKB,notInKB
72,6,False,notInC,Research assistant
73,4,True,Professor,Professor
74,9,True,University of Chicago,University of Chicago
75,2,True,Experimental physics,Physicist
76,1,True,Argonne National Laboratory,Argonne National Laboratory
77,1,True,J. Hans D. Jensen,J. Hans D. Jensen
78,1,True,Eugene Wigner,Eugene Wigner
79,6,True,notInKB,notInKB
80,10,False,notInKB,notInKB
81,1,True,Sarah Lawrence College,Sarah Lawrence College
82,1,True,notInKB,notInKB
83,1,True,Professor,Professor
84,9,True,"University of California, San Diego","University of California, San Diego"
85,10,True,"University of California, San Diego",San Diego
86,6,True,Poet,Poet
87,9,True,Paris,Paris
88,10,True,notInKB,notInKB
89,7,True,French Navy,French Navy
90,10,True,notInKB,notInKB
91,9,True,Boston University School of Theology,Boston University
92,10,False,notInKB,notInKB
